aresta,vertice1,vertice2,fluxo
1,94,353,762 
2,94,413,3264 
3,94,500,3497 
4,94,911,1271 
5,94,53,3306 
6,353,854,187 
7,353,86,1791 
8,353,864,9646 
9,353,100,173 
10,353,738,2246 
11,137,693,2 
12,137,980,1134 
13,137,41,3007 
14,137,104,2590 
15,137,334,0 
16,137,751,271 
17,137,785,3627 
18,137,966,492 
19,693,470,2215 
20,693,848,1509 
21,693,78,2904 
22,693,967,0 
23,693,436,0 
24,693,331,3444 
25,693,358,2830 
26,537,334,0 
27,537,687,2692 
28,537,737,2529 
29,537,236,1185 
30,537,985,1424 
31,334,559,489 
32,334,8,0 
33,334,408,0 
34,334,205,786 
35,334,310,5047 
36,334,37,1522 
37,690,411,0 
38,690,259,0 
39,690,404,168 
40,690,271,74 
41,690,616,1222 
42,690,814,4174 
43,411,773,0 
44,411,219,0 
45,411,14,74 
46,411,860,0 
47,411,79,6054 
48,411,997,2130 
49,646,447,501 
50,646,272,62 
51,646,502,0 
52,447,826,59 
53,447,631,894 
54,447,114,3403 
55,447,370,2209 
56,447,790,81 
57,941,901,2268 
58,941,516,0 
59,941,899,1862 
60,941,916,278 
61,941,379,5146 
62,901,949,2361 
63,901,997,6181 
64,901,615,1645 
65,958,110,0 
66,958,256,0 
67,958,895,0 
68,958,255,383 
69,958,282,577 
70,958,720,7680 
71,958,417,0 
72,958,109,285 
73,110,894,2116 
74,110,59,953 
75,110,380,8186 
76,110,940,4679 
77,540,754,4112 
78,540,289,1002 
79,540,350,0 
80,540,696,0 
81,540,53,200 
82,540,807,4260 
83,540,899,2490 
84,754,93,89 
85,754,91,24 
86,754,961,2253 
87,754,466,40 
88,754,683,4929 
89,754,705,2491 
90,955,958,0 
91,955,12,130 
92,955,281,0 
93,955,714,497 
94,955,554,893 
95,955,971,129 
96,955,733,3495 
97,435,680,0 
98,435,236,0 
99,435,45,52 
100,435,761,283 
101,435,350,0 
102,435,20,6815 
103,435,525,5806 
104,435,195,3413 
105,435,940,1633 
106,680,394,0 
107,680,841,0 
108,680,427,2883 
109,680,860,0 
110,680,808,1992 
111,680,664,380 
112,680,110,0 
113,680,518,1152 
114,680,528,3371 
115,211,467,125 
116,211,362,0 
117,211,766,0 
118,211,409,143 
119,211,328,0 
120,211,413,479 
121,211,978,1021 
122,211,497,2353 
123,467,637,1939 
124,467,86,139 
125,467,63,4528 
126,467,520,8185 
127,683,576,0 
128,683,905,113 
129,683,382,1763 
130,683,581,1036 
131,683,806,2126 
132,683,570,4760 
133,683,691,1702 
134,683,223,403 
135,683,854,29 
136,576,260,22 
137,576,995,8114 
138,576,731,5385 
139,576,680,2431 
140,576,228,1643 
141,576,379,485 
142,576,331,3513 
143,576,911,2939 
144,576,865,3983 
145,603,432,364 
146,603,935,0 
147,603,678,6 
148,603,198,961 
149,603,62,931 
